set_id,directory,method,normalised,log1p,scaled,time_seconds,absolute,corr_penalty,data_path,dataset,fraction_seed,gene_subset,n,n_pcs,obs_fraction,obs_key,penalty_keys,rankby_abs,seed,variance_scaled
genesets_1_0,.,pca,True,True,False,0.052269022999098524,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,10,,,[],,,False
genesets_1_1,.,pca,True,True,True,1.5239951459952863,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,10,,,[],,,False
genesets_1_2,.,pca,True,True,False,0.08020985800249036,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,20,,,[],,,False
genesets_1_3,.,pca,True,True,True,0.5204995779931778,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,20,,,[],,,False
genesets_1_4,.,pca,True,True,False,0.10349173199210782,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,30,,,[],,,False
genesets_1_5,.,pca,True,True,True,0.6259030749934027,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,30,,,[],,,False
genesets_1_6,.,pca,True,True,False,0.05575012799818069,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,10,,,[],,,True
genesets_1_7,.,pca,True,True,True,0.2819427030044608,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,10,,,[],,,True
genesets_1_8,.,pca,True,True,False,0.12541669298661873,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,20,,,[],,,True
genesets_1_9,.,pca,True,True,True,0.3315527539962204,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,20,,,[],,,True
genesets_1_10,.,pca,True,True,False,0.18705251200299244,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,30,,,[],,,True
genesets_1_11,.,pca,True,True,True,0.46525396200013347,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,30,,,[],,,True
genesets_1_12,.,DE,True,True,False,7.768128059004084,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,celltype,[],False,,
genesets_1_13,.,random,False,False,False,0.001763156004017219,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,4166,
genesets_1_14,.,random,False,False,False,0.001738100007059984,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,6098,
genesets_1_15,.,random,False,False,False,0.0017060300015145913,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,4527,
genesets_1_16,.,random,False,False,False,0.0016525039973203093,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,7733,
genesets_1_17,.,random,False,False,False,0.001820890000090003,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,8473,
genesets_1_18,.,random,False,False,False,0.0022170709999045357,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,3857,
genesets_1_19,.,random,False,False,False,0.001522357008070685,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,3970,
genesets_1_20,.,random,False,False,False,0.0017284339992329478,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,5611,
genesets_1_21,.,random,False,False,False,0.0016054820007411763,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,3273,
genesets_1_22,.,random,False,False,False,0.001846742001362145,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,5822,
genesets_1_23,.,random,False,False,False,0.0018071999948006123,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,1938,
genesets_1_24,.,random,False,False,False,0.00177974600228481,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,6780,
genesets_1_25,.,random,False,False,False,0.0016246070008492097,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,6890,
genesets_1_26,.,random,False,False,False,0.0017955710063688457,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,3301,
genesets_1_27,.,random,False,False,False,0.0019427310035098344,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,9444,
genesets_1_28,.,random,False,False,False,0.001799987003323622,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,7135,
genesets_1_29,.,random,False,False,False,0.0016564519901294261,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,5585,
genesets_1_30,.,random,False,False,False,0.0021965769992675632,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,7793,
genesets_1_31,.,random,False,False,False,0.0016262169956462458,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,7609,
genesets_1_32,.,random,False,False,False,0.001476676989113912,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,2835,
genesets_1_33,.,random,False,False,False,0.0017532170022604987,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,571,
genesets_1_34,.,random,False,False,False,0.0017174149979837239,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,4000,
genesets_1_35,.,random,False,False,False,0.0016659550019539893,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,8571,
genesets_1_36,.,random,False,False,False,0.0021822720009367913,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,397,
genesets_1_37,.,random,False,False,False,0.0015912259987089783,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,1921,
genesets_1_38,.,random,False,False,False,0.0017528269963804632,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,5225,
genesets_1_39,.,random,False,False,False,0.0016789410001365468,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,4073,
genesets_1_40,.,random,False,False,False,0.001685513008851558,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,8537,
genesets_1_41,.,random,False,False,False,0.002013866003835574,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,3028,
genesets_1_42,.,random,False,False,False,0.0015156650042627007,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,3714,
genesets_1_43,.,random,False,False,False,0.0015409019979415461,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,5964,
genesets_1_44,.,random,False,False,False,0.001519931000075303,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,5281,
genesets_1_45,.,random,False,False,False,0.0015167180099524558,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,3899,
genesets_1_46,.,random,False,False,False,0.0020442459936020896,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,8369,
genesets_1_47,.,random,False,False,False,0.0015642190119251609,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,9869,
genesets_1_48,.,random,False,False,False,0.0015147070080274716,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,6381,
genesets_1_49,.,random,False,False,False,0.0016097000043373555,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,4006,
genesets_1_50,.,random,False,False,False,0.001690429009613581,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,343,
genesets_1_51,.,random,False,False,False,0.002466215009917505,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,2470,
genesets_1_52,.,random,False,False,False,0.0015160530019784346,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,830,
genesets_1_53,.,random,False,False,False,0.0016860320029081777,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,6311,
genesets_1_54,.,random,False,False,False,0.001506278000306338,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,1312,
genesets_1_55,.,random,False,False,False,0.0018916289991466329,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,7174,
genesets_1_56,.,random,False,False,False,0.0019349500071257353,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,3550,
genesets_1_57,.,random,False,False,False,0.0015328139998018742,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,7084,
genesets_1_58,.,random,False,False,False,0.002297489991178736,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,6455,
genesets_1_59,.,random,False,False,False,0.0017858229984994978,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,6697,
